mood,track_name,artist,track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
happy,Upside Down,Jack Johnson,6shRGWCtBUOPFLFTTqXZIC,0.238,0.787,0.655,0.000171,6,0.138,-8.339,0,0.0431,102.485,4,0.65
happy,Someone New,Hozier,0efT4YKQLQx2YHbp6vgRX8,0.427,0.446,0.533,3.26E-06,7,0.332,-5.955,1,0.046,183.81,4,0.58
happy,Little Talks,Of Monsters and Men,3a2tuvXCHbW5nuUckuHkKT,0.0206,0.445,0.757,0,1,0.146,-5.177,1,0.0322,102.878,4,0.421
happy,Heart's Content,Brandi Carlile,0pegFWSUOTiG0sLVEfxtvA,0.724,0.564,0.209,3.99E-05,3,0.107,-8.922,1,0.0317,109.024,4,0.402
happy,Sunday Morning,Maroon 5,4T5cqerbDXueYSVfXkIITo,0.0756,0.604,0.761,0,0,0.062,-5.227,1,0.0468,88.04,4,0.787
happy,Ophelia,The Lumineers,3d8y0t70g7hw2FOWl9Z4Fm,0.613,0.664,0.573,0.000363,5,0.0857,-6.519,1,0.0277,76.023,4,0.566
happy,Riptide,Vance Joy,3JvrhDOgAt6p7K8mDyZwRd,0.431,0.484,0.731,0,1,0.151,-6.694,1,0.0379,101.654,4,0.51
happy,Everybody Talks,Neon Trees,3528IXKpbb7OMjdjWYlbfD,0.00301,0.471,0.924,0,8,0.313,-3.906,1,0.0586,154.961,4,0.725
happy,"Hey, Soul Sister",Train,6mghCOaaSvrke0z1EUVUIf,0.203,0.674,0.89,0,1,0.0819,-4.446,0,0.0459,97.02,4,0.737
happy,I Lived,OneRepublic,7D49Iig0avHre9RFSUMkd2,0.0746,0.599,0.854,0,9,0.278,-5.429,1,0.0436,119.986,4,0.311
happy,Something I Need,OneRepublic,4KANJH1baadr3U7XsVbM17,0.164,0.683,0.601,0,7,0.119,-6.927,1,0.0308,98.97,4,0.62
happy,Tongue Tied,Grouplove,0GO8y8jQk1PkHzS31d699N,0.00847,0.56,0.936,0,3,0.161,-5.835,1,0.0439,112.96,4,0.371
happy,Almost (Sweet Music),Hozier,5Apvsk0suoivI1H8CmBglv,0.0215,0.523,0.687,2.86E-06,7,0.203,-5.601,1,0.105,90.036,4,0.711
happy,My Girl,The Temptations,745H5CctFr12Mo7cqa1BMH,0.635,0.572,0.418,0,0,0.0961,-10.738,1,0.0349,104.566,4,0.694
happy,Left Hand Free,alt-J,4iEOVEULZRvmzYSZY2ViKN,0.462,0.697,0.877,0.00943,3,0.083,-4.465,1,0.0462,101.99,4,0.802
happy,Down the Line,Beach Fossils,05ZUxHiGT7VR6ShJjhwJxn,0.237,0.615,0.743,0.00431,7,0.148,-6.569,1,0.041,162.22,4,0.528
happy,Love My Way,Various Artists,3GITxE9ghA1r7iOZXRbS6O,0.0221,0.674,0.831,9.90E-05,0,0.107,-7.282,1,0.0367,126.075,4,0.606
happy,3 Nights,Dominic Fike,1tNJrcVe6gwLEiZCtprs1u,0.223,0.815,0.518,0,7,0.104,-6.594,0,0.0897,151.891,4,0.877
happy,Needs,Verzache,0WKmVAD4VWk5EdTyCFILi4,0.189,0.813,0.601,0.0002,11,0.426,-7.552,0,0.116,118.981,4,0.855
happy,Are You Bored Yet? (feat. Clairo),Wallows,57RA3JGafJm5zRtKJiKPIm,0.156,0.682,0.683,2.32E-05,8,0.273,-6.444,0,0.0287,120.023,4,0.64
happy,Amerika,Young the Giant,6pqKbOiVd58jcnxqIB10Ra,0.0141,0.625,0.781,1.17E-06,0,0.0662,-5.756,1,0.0456,89.982,4,0.178
happy,Dancing in the Moonlight,Toploader,3Fzlg5r1IjhLk2qRw667od,0.0624,0.632,0.856,0,10,0.347,-3.463,1,0.0348,119.397,4,0.867
happy,Dancing Feet (feat. DNCE),Kygo,4RAR8g8fZNB106ezUurnE0,0.293,0.75,0.797,0,0,0.392,-4.826,1,0.118,105.949,4,0.523
happy,Eternal Sunshine,LiQWYD,4hccKNseI59YKoEN7rQCHb,0.0123,0.582,0.911,0.791,1,0.425,-7.055,0,0.0339,120.984,4,0.185
happy,In Your Arms (For An Angel),Topic,5WOnsi0Bug74LmhxcPfKvR,0.0399,0.694,0.828,0,11,0.0796,-4.653,0,0.0336,126.002,4,0.407
happy,Wherever You Go,Pierse,0kn3k32BxdrzHYVNVApya5,0.0184,0.682,0.817,0.00882,3,0.104,-4.574,1,0.036,127.978,4,0.334
happy,"Happy - From ""Despicable Me 2""",Pharrell Williams,60nZcImufyMA1MKQY3dcCH,0.219,0.647,0.822,0,5,0.0908,-4.662,0,0.183,160.019,4,0.962
happy,Wave of You,Surfaces,5Ne1q9Hv3l2NHBA3Agt8WT,0.057,0.695,0.656,0,1,0.267,-6.038,1,0.0489,90.986,4,0.346
happy,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,4iJyoBOLtHqaGxP12qzhQI,0.321,0.677,0.696,0,0,0.42,-6.181,1,0.119,90.03,4,0.464
happy,Everybody Talks,Neon Trees,2iUmqdfGZcHIhS3b9E9EWq,0.00301,0.471,0.924,0,8,0.313,-3.906,1,0.0586,154.961,4,0.725
happy,My Body,Young the Giant,1KDYN3odJHnj9pqGHN3FVs,0.0011,0.488,0.909,1.02E-05,10,0.456,-6.591,1,0.0929,129.774,4,0.643
happy,Someone New,Hozier,2DNXgvkyv35vTWvdgjs7qn,0.429,0.443,0.533,3.66E-06,7,0.332,-5.956,1,0.0473,183.791,4,0.596
happy,One Dance,Drake,1zi7xx7UVEFkmKfv06H8x0,0.00776,0.792,0.625,0.0018,1,0.329,-5.609,1,0.0536,103.967,4,0.37
happy,Kiss Me More (feat. SZA),Doja Cat,0VXNv42fMCHUaugnEgTeI7,0.245,0.781,0.692,0.000168,8,0.123,-3.479,1,0.0301,110.962,4,0.726
